Gruppo_Muscolare,Esercizio,Attrezzatura,Difficoltà
Gambe,Stacco_Rumeno_con_Manubri,Manubri,Principiante
Gambe,Leg_Curl_Sdraiato,Macchina,Principiante
Gambe,Leg_Curl_Seduto,Macchina,Principiante
Gambe,Calf_Raise_Seduto,Macchina,Principiante
Gambe,Calf_Raise_In_Piedi,Macchina_/_Bilanciere,Principiante
Gambe,Calf_alla_Leg_Press,Macchina,Principiante
Spalle,Military_Press_(Lento_Avanti_Bilanciere),Bilanciere,Intermedio
Spalle,Lento_Avanti_con_Manubri,Manubri,Intermedio
Spalle,Shoulder_Press_Machine,Macchina,Principiante
Spalle,Alzate_Laterali_con_Manubri,Manubri,Principiante
Spalle,Alzate_Laterali_ai_Cavi,Cavi,Principiante
Spalle,Alzate_Frontali_con_Manubri,Manubri,Principiante
Spalle,Alzate_Frontali_con_Bilanciere,Bilanciere,Principiante
Spalle,Alzate_Posteriori_con_Manubri_(Deltoidi_Post),Manubri,Principiante
Spalle,Face_Pull,Cavi,Principiante
Spalle,Reverse_Fly_Machine_(Pec_Deck_Inverso),Macchina,Principiante
Spalle,Tirate_al_Mento_con_Bilanciere,Bilanciere,Intermedio
Bicipiti,Curl_con_Bilanciere_dritto,Bilanciere,Principiante
Bicipiti,Curl_con_Bilanciere_Sagomato_(EZ),Bilanciere,Principiante
Bicipiti,Curl_Alternato_con_Manubri,Manubri,Principiante
Bicipiti,Curl_a_Martello_(Hammer_Curl),Manubri,Principiante
Bicipiti,Curl_su_Panca_Inclinata,Manubri_/_Panca,Intermedio
Bicipiti,Curl_alla_Panca_Scott,Bilanciere_EZ_/_Manubrio,Principiante
Bicipiti,Curl_Concentrato,Manubrio,Principiante
Bicipiti,Curl_ai_Cavi_Bassi,Cavi,Principiante
Bicipiti,Spider_Curl,Bilanciere_/_Panca,Intermedio
Tricipiti,Pushdown_con_Corda,Cavi,Principiante
Tricipiti,Pushdown_con_Barra_dritta/V,Cavi,Principiante
Tricipiti,French_Press_con_Bilanciere_EZ,Bilanciere,Intermedio
Tricipiti,Skull_Crusher_con_Manubri,Manubri,Intermedio
Tricipiti,Estensioni_Dietro_Nuca_con_Manubrio,Manubrio,Principiante
Tricipiti,Estensioni_Dietro_Nuca_al_Cavo_Alto,Cavi,Principiante
Tricipiti,Panca_Piana_Presa_Stretta,Bilanciere,Intermedio
Tricipiti,Dip_tra_due_panche,Corpo_Libero_/_Panca,Principiante
Tricipiti,Kickback_con_Manubrio,Manubri,Principiante
Addominali,Crunch_a_Terra,Corpo_Libero,Principiante
Addominali,Crunch_Inverso,Corpo_Libero,Principiante
Addominali,Plank_Statico,Corpo_Libero,Principiante
Addominali,Side_Plank_(Plank_Laterale),Corpo_Libero,Principiante
Addominali,Leg_Raise_alla_Sbarra_(Sollevamento_Gambe),Corpo_Libero,Intermedio
Addominali,Sollevamento_Ginocchia_alle_Parallele,Corpo_Libero,Principiante
Addominali,Ab_Wheel_Rollout_(Ruota_Addominali),Ab_Wheel,Avanzato
Addominali,Cable_Crunch_(Crunch_ai_Cavi),Cavi,Principiante
Addominali,Russian_Twist,Corpo_Libero_/_Palla_Medica,Principiante
Addominali,Woodchopper_ai_Cavi,Cavi,Intermedio
